"det_id15","strasse","richtung","position","spur","lon_wgs84","lat_wgs84"
"100101010025126","Spreeweg","Nord","zwischen Großer Stern und Lutherbrücke Mittelstreifen, ca.10 m vor Eingang Bundespräsidialamt","HF_R","13.353127","52.516165"
"100101010025227","Spreeweg","Nord","zwischen Großer Stern und Lutherbrücke Mittelstreifen, ca.10 m vor Eingang Bundespräsidialamt","HF_2vR","13.353127","52.516165"
"100101010025328","Spreeweg","Nord","zwischen Großer Stern und Lutherbrücke Mittelstreifen, ca.10 m vor Eingang Bundespräsidialamt","HF_3vR","13.353084","52.516201"
"100101010010877","Storkower Straße","Nordwest","zwischen Landsberger Allee und Kniprodestraße, ca. 100 m vor Kniprodestraße, in Höhe Haus Nr. 114 (gegenüber)","HF_R","13.450701","52.536088"
"100101010010978","Storkower Straße","Nordwest","zwischen Landsberger Allee und Kniprodestraße, ca. 100 m vor Kniprodestraße, in Höhe Haus Nr. 114 (gegenüber)","HF_2vR","13.450701","52.536088"
"100101010067966","Stralauer Allee","Nordwest","zwischen Ehrenbergstraße und Naglerstraße, 3. LM nach Ehrenbergstraße","HF_R","13.449831","52.501948"
"100101010068067","Stralauer Allee","Nordwest","zwischen Ehrenbergstraße und Naglerstraße, 3. LM nach Ehrenbergstraße","HF_2vR","13.449831","52.501948"
"100101010068168","Stralauer Allee","Nordwest","zwischen Ehrenbergstraße und Naglerstraße, 3. LM nach Ehrenbergstraße","HF_3vR","13.449831","52.501948"
"100101010068269","Stralauer Allee","Ost","zwischen Rochowstraße und Bossestraße in Höhe Haus Nr. 21a, 4. LM nach Rochowstraße","HF_R","13.460909","52.498555"
"100101010068370","Stralauer Allee","Ost","zwischen Rochowstraße und Bossestraße in Höhe Haus Nr. 21a, 4. LM nach Rochowstraße","HF_2vR","13.460909","52.498555"
"100101010014719","Straße des 17. Juni","West","zwischen Großer Stern und Klopstockstraße, ca. 100 m vor LSA Klopstockstraße, am LM 119","HF_R","13.343004","52.514099"
"100101010014820","Straße des 17. Juni","West","zwischen Großer Stern und Klopstockstraße, ca. 100 m vor LSA Klopstockstraße, am LM 119","HF_2vR","13.343004","52.514099"
"100101010014921","Straße des 17. Juni","West","zwischen Großer Stern und Klopstockstraße, ca. 100 m vor LSA Klopstockstraße, am LM 119","HF_3vR","13.343004","52.514099"
"100101010015022","Straße des 17. Juni","Ost","zwischen Klopstockstraße und Großer Stern, ca. 100 m nach LSA Klopstockstraße, am LM 114","HF_R","13.342064","52.513891"
"100101010015123","Straße des 17. Juni","Ost","zwischen Klopstockstraße und Großer Stern, ca. 100 m nach LSA Klopstockstraße, am LM 114","HF_2vR","13.342064","52.513891"
"100101010015224","Straße des 17. Juni","Ost","zwischen Klopstockstraße und Großer Stern, ca. 100 m nach LSA Klopstockstraße, am LM 114","HF_3vR","13.342064","52.513891"
"100101010043718","Stromstraße","Süd","zwischen Bugenhagenstraße und Turmstraße, in Höhe Haus Nr. 56","HF_R","13.343216","52.527704"
"100101010043819","Stromstraße","Süd","zwischen Bugenhagenstraße und Turmstraße, in Höhe Haus Nr. 56","HF_2vR","13.343216","52.527704"
"100101010043920","Stromstraße","Nord","zwischen Turmstraße und Bugenhagenstraße, in Höhe Haus Nr. 56","HF_R","13.343332","52.527598"
"100101010044021","Stromstraße","Nord","zwischen Turmstraße und Bugenhagenstraße, in Höhe Haus Nr. 56","HF_2vR","13.343332","52.527598"
"100101010054933","Stubenrauchstraße","Nordost","zwischen Kanalstraße und AS Stubenrauchstraße","HF_R","13.496587","52.432592"
"100101010055034","Stubenrauchstraße","Nordost","zwischen Kanalstraße und AS Stubenrauchstraße","HF_2vR","13.496587","52.432592"
"100101010077363","Stubenrauchstraße","Nordost","zwischen BAB113 und Eisenhutweg","HF_R","13.499796","52.434534"
"100101010077464","Stubenrauchstraße","Nordost","zwischen BAB113 und Eisenhutweg","HF_2vR","13.499796","52.434534"
"100101010077565","Stubenrauchstraße","Südwest","zwischen Eisenhutweg und BAB113","LA","13.499179","52.434709"
"100101010077666","Stubenrauchstraße","Südwest","zwischen Eisenhutweg und BAB113","HF_R","13.499179","52.434709"
"100101010077767","Stubenrauchstraße","Südwest","zwischen Eisenhutweg und BAB113","HF_2vR","13.499179","52.434709"
"100101010043314","Tegeler Weg","Süd","zwischen AS Jakob-Kaiser-Platz und Max-Dohrn-Straße, in Höhe Haus Nr. 33, ca. 100 m vor Max-Dohrn-Straße","HF_R","13.295307","52.531366"
"100101010043415","Tegeler Weg","Süd","zwischen AS Jakob-Kaiser-Platz und Max-Dohrn-Straße, in Höhe Haus Nr. 33, ca. 100 m vor Max-Dohrn-Straße","HF_2vR","13.295307","52.531366"
"100101010043516","Tegeler Weg","Nord","zwischen Max-Dohrn-Straße und AS Jakob-Kaiser-Platz, in Höhe Haus Nr. 33, ca. 100 m hinter Max-Dohrn-Straße","HF_R","13.295574","52.531316"
"100101010043617","Tegeler Weg","Nord","zwischen Max-Dohrn-Straße und AS Jakob-Kaiser-Platz, in Höhe Haus Nr. 33, ca. 100 m hinter Max-Dohrn-Straße","HF_2vR","13.295574","52.531316"
"100101010001278","Teltower Damm","Nord","zwischen Kirchstraße und Potsdamer Straße, in Höhe Haus Nr. 13 (gegenüber)","HF_R","13.259881","52.433741"
"100101010001379","Teltower Damm","Nord","zwischen Kirchstraße und Potsdamer Straße, in Höhe Haus Nr. 13 (gegenüber)","HF_2vR","13.259881","52.433741"
